Week,Day Type,Borough,Route,Direction,Hour,Load Percentage,Trips with APC
04/03/2023,Weekday,Bronx,BXM1,NB,0,7,4
04/03/2023,Weekday,Bronx,BXM1,NB,6,7,1
04/03/2023,Weekday,Bronx,BXM1,NB,7,24,4
04/03/2023,Weekday,Bronx,BXM1,NB,8,16,5
04/03/2023,Weekday,Bronx,BXM1,NB,10,14,5
04/03/2023,Weekday,Bronx,BXM1,NB,11,18,7
04/03/2023,Weekday,Bronx,BXM1,NB,12,16,3
04/03/2023,Weekday,Bronx,BXM1,NB,13,25,5
04/03/2023,Weekday,Bronx,BXM1,NB,14,24,7
04/03/2023,Weekday,Bronx,BXM1,NB,15,29,9
04/03/2023,Weekday,Bronx,BXM1,NB,16,23,9
04/03/2023,Weekday,Bronx,BXM1,NB,17,34,19
04/03/2023,Weekday,Bronx,BXM1,NB,18,21,4
04/03/2023,Weekday,Bronx,BXM1,NB,19,24,7
04/03/2023,Weekday,Bronx,BXM1,NB,20,24,5
04/03/2023,Weekday,Bronx,BXM1,NB,21,27,5
04/03/2023,Weekday,Bronx,BXM1,NB,22,27,6
04/03/2023,Weekday,Bronx,BXM1,SB,5,45,1
04/03/2023,Weekday,Bronx,BXM1,SB,6,32,15
04/03/2023,Weekday,Bronx,BXM1,SB,7,36,8
04/03/2023,Weekday,Bronx,BXM1,SB,8,22,4
04/03/2023,Weekday,Bronx,BXM1,SB,9,33,8
04/03/2023,Weekday,Bronx,BXM1,SB,10,16,7
04/03/2023,Weekday,Bronx,BXM1,SB,11,19,4
04/03/2023,Weekday,Bronx,BXM1,SB,12,28,8
04/03/2023,Weekday,Bronx,BXM1,SB,13,18,5
04/03/2023,Weekday,Bronx,BXM1,SB,14,15,4
04/03/2023,Weekday,Bronx,BXM1,SB,15,10,9
04/03/2023,Weekday,Bronx,BXM1,SB,16,12,3
04/03/2023,Weekday,Bronx,BXM1,SB,17,11,5
04/03/2023,Weekday,Bronx,BXM1,SB,18,9,3
04/03/2023,Weekday,Bronx,BXM1,SB,19,4,3
04/03/2023,Weekday,Bronx,BXM1,SB,21,6,5
04/03/2023,Weekday,Bronx,BXM1,SB,23,6,5
04/03/2023,Weekday,Bronx,BXM10,NB,0,67,2
04/03/2023,Weekday,Bronx,BXM10,NB,7,43,6
04/03/2023,Weekday,Bronx,BXM10,NB,8,10,4
04/03/2023,Weekday,Bronx,BXM10,NB,9,11,2
04/03/2023,Weekday,Bronx,BXM10,NB,10,4,1
04/03/2023,Weekday,Bronx,BXM10,NB,11,7,1
04/03/2023,Weekday,Bronx,BXM10,NB,12,15,6
04/03/2023,Weekday,Bronx,BXM10,NB,13,21,8
04/03/2023,Weekday,Bronx,BXM10,NB,14,25,4
04/03/2023,Weekday,Bronx,BXM10,NB,15,42,5
04/03/2023,Weekday,Bronx,BXM10,NB,16,32,23
04/03/2023,Weekday,Bronx,BXM10,NB,17,37,14
04/03/2023,Weekday,Bronx,BXM10,NB,18,31,5
04/03/2023,Weekday,Bronx,BXM10,NB,19,35,7
04/03/2023,Weekday,Bronx,BXM10,NB,20,25,6
04/03/2023,Weekday,Bronx,BXM10,NB,21,37,2
04/03/2023,Weekday,Bronx,BXM10,NB,22,71,2
04/03/2023,Weekday,Bronx,BXM10,NB,23,44,1
04/03/2023,Weekday,Bronx,BXM10,SB,5,46,6
04/03/2023,Weekday,Bronx,BXM10,SB,6,52,12
04/03/2023,Weekday,Bronx,BXM10,SB,7,31,7
04/03/2023,Weekday,Bronx,BXM10,SB,8,26,6
04/03/2023,Weekday,Bronx,BXM10,SB,9,22,1
04/03/2023,Weekday,Bronx,BXM10,SB,10,31,1
04/03/2023,Weekday,Bronx,BXM10,SB,11,21,8
04/03/2023,Weekday,Bronx,BXM10,SB,12,21,3
04/03/2023,Weekday,Bronx,BXM10,SB,13,24,1
04/03/2023,Weekday,Bronx,BXM10,SB,14,22,7
04/03/2023,Weekday,Bronx,BXM10,SB,15,17,2
